region,zone,district,traditional_authority,facility_name,datim_code,system,hsector,period,reporting_period,sub_groups,new_women_registered,total_women_in_booking_cohort,not_tested_for_syphilis,syphilis_negative,syphilis_positive,hiv_status_not_ascertained,previous_negative,previous_positive,new_negative,new_positive,not_on_cpt,on_cpt,no_ar_vs,already_on_art_when_starting_anc,started_art_at_0_27_weeks_of_pregnancy,started_art_at_28_weeks_of_preg,no_ar_vs_dispensed_for_infant,ar_vs_dispensed_for_infant
Central Region,Central East Zone,Ntchisi,TA Chilooko,Chinguluwe Health Centre Ntchisi,gsFF5PeUyOu,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,63,16,47,0,6,0,0,57,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Chilooko,Chinguluwe Health Centre Ntchisi,gsFF5PeUyOu,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),54,NA,NA,NA,NA,4,0,0,48,2,NA,NA,0,2,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chilooko,Chinguluwe Health Centre Ntchisi,gsFF5PeUyOu,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,67,42,25,0,4,0,1,61,1,0,2,0,1,1,0,0,2
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chilooko,Malambo St Theresa Health Centre,E7QZkTmniIb,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),76,NA,NA,NA,NA,5,0,1,70,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,67,39,28,0,5,0,1,61,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),67,NA,NA,NA,NA,2,0,0,65,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,69,39,30,0,0,0,0,69,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),79,NA,NA,NA,NA,3,0,0,76,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Kasakula,Kangolwa Health Centre,JWY4JfFD62S,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,67,0,66,1,0,0,1,66,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),93,NA,NA,NA,NA,1,0,1,91,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,68,37,31,0,0,0,0,68,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),68,NA,NA,NA,NA,0,0,0,68,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,57,37,20,0,3,0,0,54,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),78,NA,NA,NA,NA,0,0,0,78,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Chikho,Mzandu Health Centre,DItwnl2NpzD,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,62,15,47,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),46,NA,NA,NA,NA,0,0,0,46,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,45,0,45,0,0,0,1,43,1,0,2,0,1,0,1,0,2
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),39,NA,NA,NA,NA,8,0,1,30,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,41,0,41,0,0,0,1,40,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),53,NA,NA,NA,NA,1,0,0,52,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Nthondo,Nthondo Health Centre,D5aR84NLW2R,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,63,0,63,0,0,0,1,62,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),188,NA,NA,NA,NA,4,0,1,181,2,NA,NA,0,1,2,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,103,36,67,0,3,0,1,99,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),82,NA,NA,NA,NA,5,0,0,75,2,NA,NA,0,0,2,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,100,96,4,0,3,0,1,96,0,0,1,0,1,0,0,1,0
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),78,NA,NA,NA,NA,8,0,1,68,1,NA,NA,0,1,1,0,NA,NA
Central Region,Central East Zone,Ntchisi,TA Malenga,Kansonga Health Centre Ntchisi,PxKkQujvblE,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,102,4,98,0,1,0,1,99,1,0,2,0,1,1,0,1,1
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),188,NA,NA,NA,NA,6,0,3,179,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,152,66,86,0,0,55,2,94,1,0,3,0,2,1,0,0,3
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),162,NA,NA,NA,NA,0,1,7,154,0,NA,NA,0,7,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,135,59,76,0,0,0,5,129,1,0,6,0,5,1,0,0,6
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),154,NA,NA,NA,NA,0,1,4,147,2,NA,NA,0,4,2,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Mtengowanthenga Community Hospital,ztpzv4zmVds,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,165,91,74,0,0,0,4,157,4,0,8,0,4,4,0,0,8
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),274,NA,NA,NA,NA,0,2,2,268,2,NA,NA,0,2,2,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,219,5,214,0,0,0,1,216,2,0,3,0,1,2,0,0,3
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),205,NA,NA,NA,NA,0,0,1,204,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,174,3,171,0,0,0,3,171,0,0,3,0,3,0,0,0,3
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),220,NA,NA,NA,NA,0,3,0,216,1,NA,NA,0,0,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Dzaleka Health Centre,ep3l4uUtP95,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,177,1,176,0,0,0,1,175,1,0,2,0,1,1,0,0,2
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),120,NA,NA,NA,NA,0,0,3,117,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,68,0,66,2,0,0,1,67,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),111,NA,NA,NA,NA,0,0,0,110,1,NA,NA,0,0,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,111,1,109,1,0,0,1,109,1,0,2,0,1,1,0,0,2
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),111,NA,NA,NA,NA,0,0,1,110,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Mkukula,Chankhungu Health Centre,aWEB2Oq1K4E,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,122,0,119,3,0,0,3,118,1,0,4,0,3,1,0,0,4
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),72,NA,NA,NA,NA,15,0,2,54,1,NA,NA,0,2,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,61,61,0,0,2,0,1,58,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),49,NA,NA,NA,NA,12,0,0,37,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,58,48,10,0,1,0,3,54,0,0,3,0,3,0,0,0,3
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),56,NA,NA,NA,NA,0,0,2,54,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Kayembe Health Centre,PVboE7fZBsY,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,82,73,9,0,4,0,1,77,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),61,NA,NA,NA,NA,15,0,1,44,1,NA,NA,1,0,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,66,0,66,0,0,0,1,65,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),75,NA,NA,NA,NA,5,0,1,69,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,80,0,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),72,NA,NA,NA,NA,0,0,3,69,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Mbingwa Health Centre,XJUM9JsUfhe,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,83,0,83,0,0,0,2,81,0,0,2,0,2,0,0,0,2
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),45,NA,NA,NA,NA,25,0,0,20,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,90,65,25,0,64,0,1,25,0,0,1,0,1,0,0,0,1
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),49,NA,NA,NA,NA,44,0,0,5,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,51,0,51,0,0,0,2,49,0,0,2,1,1,0,0,0,2
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),71,NA,NA,NA,NA,60,0,0,11,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Kayembe,Chisepo Health Centre,UWTVMDsTSyC,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,46,0,46,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),57,NA,NA,NA,NA,6,0,1,49,1,NA,NA,0,1,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,33,13,20,0,14,0,0,18,1,0,1,0,0,1,0,0,1
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),29,NA,NA,NA,NA,14,0,1,14,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,41,10,31,0,10,0,0,30,1,0,1,0,0,1,0,0,1
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),43,NA,NA,NA,NA,32,0,0,11,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Msakambewa Health Centre,zv1mrg1xMqm,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,33,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),39,NA,NA,NA,NA,13,0,0,26,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,55,7,48,0,5,0,0,50,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),31,NA,NA,NA,NA,4,0,2,25,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,38,6,32,0,6,0,0,32,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),31,NA,NA,NA,NA,4,0,1,26,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Msakambewa,Mwangala Health Centre,irRYUgauumP,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,29,3,26,0,1,0,0,28,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),28,NA,NA,NA,NA,16,0,0,12,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,26,4,22,0,0,0,1,25,0,0,1,0,1,0,0,1,0
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),29,NA,NA,NA,NA,0,0,1,28,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,24,4,20,0,1,0,0,22,1,0,1,0,0,1,0,0,1
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),33,NA,NA,NA,NA,1,0,0,32,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Army Camp,dodorgunit0009,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,26,0,26,0,0,0,3,23,0,0,3,0,3,0,0,0,3
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),77,NA,NA,NA,NA,0,0,1,74,2,NA,NA,0,1,2,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,76,0,76,0,0,0,2,73,1,0,3,0,2,1,0,0,3
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),62,NA,NA,NA,NA,0,0,2,58,2,NA,NA,0,2,1,1,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,57,0,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),51,NA,NA,NA,NA,0,0,0,51,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Mvera Mission Hospital,Gq0IOrXmP9U,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,58,0,58,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),54,NA,NA,NA,NA,17,0,1,36,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,31,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),39,NA,NA,NA,NA,11,0,0,28,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,49,0,49,0,0,0,1,46,2,0,3,0,1,2,0,0,3
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),68,NA,NA,NA,NA,38,0,2,28,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Thonje Health Centre,tKDMDI07brf,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,37,1,36,0,0,0,2,35,0,0,2,0,2,0,0,0,2
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),76,NA,NA,NA,NA,36,0,0,40,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,81,6,75,0,7,0,1,73,0,0,1,0,1,0,0,1,0
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),47,NA,NA,NA,NA,28,0,0,19,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,60,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),79,NA,NA,NA,NA,15,0,0,63,1,NA,NA,1,0,0,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chiwere,Nalunga Mafika Health Centre,JHNlgsfx8mr,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,64,0,64,0,0,0,0,64,0,0,0,0,0,0,0,0,0
Central Region,Central East Zone,Dowa,TA Chakhaza,Madisi Mission Hospital,KQbg3cuB9pC,POC,Public,2019 Q1,1st month of quarter,All patients (checked data),130,NA,NA,NA,NA,1,0,1,125,3,NA,NA,0,1,3,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chakhaza,Madisi Mission Hospital,KQbg3cuB9pC,POC,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,86,0,86,0,0,0,2,82,2,0,4,0,2,2,0,0,4
Central Region,Central East Zone,Dowa,TA Chakhaza,Madisi Mission Hospital,KQbg3cuB9pC,POC,Public,2019 Q1,2nd month of quarter,All patients (checked data),113,NA,NA,NA,NA,0,0,0,112,1,NA,NA,0,0,1,0,NA,NA
Central Region,Central East Zone,Dowa,TA Chakhaza,Madisi Mission Hospital,KQbg3cuB9pC,POC,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,64,2,62,0,0,0,4,59,1,0,5,0,4,1,0,0,5
Central Region,Central East Zone,Dowa,TA Chakhaza,Madisi Mission Hospital,KQbg3cuB9pC,POC,Public,2019 Q1,3rd month of quarter,All patients (checked data),111,NA,NA,NA,NA,2,2,1,105,1,NA,NA,0,1,0,1,NA,NA
